"Domain","FrequencyGHz","Core","VminColumn","Samples","Slope","Intercept","R2","U5S2T_Target","Vmin_At_Target"
"CR","1.2","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_1.200_1","8883","-0.346685782995464","0.781777216837849","0.0407333259066519","0.87","0.480160585631795"
"CR","1.2","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_1.200_2","8883","-0.334758531602607","0.771963978216531","0.0395100984735952","0.87","0.480724055722263"
"CR","3","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_3.000_1","8883","-0.438140449448886","1.0429139027751","0.147777137191833","0.87","0.661731711754571"
"CR","3","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_3.000_2","8883","-0.454840560578296","1.05785801953091","0.161213045716952","0.87","0.66214673182779"
"CR","4.1","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_4.100_1","8883","-0.807269003521198","1.5532181683518","0.434525543292868","0.87","0.850894135288354"
"CR","4.1","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_4.100_2","8883","-0.822415350559908","1.56875583370017","0.435268439945724","0.87","0.853254478713054"
"CR","4.5","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_4.500_1","8883","-0.903646560671012","1.74462175668053","0.471048710293581","0.87","0.958449248896751"
"CR","4.5","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_4.500_2","8883","-0.91728092385029","1.76233734006024","0.453605296805796","0.87","0.964302936310488"
"CR","4.6","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_4.600_1","2","-1.7885396817585","2.5736778330024","1","0.87","1.01764830987251"
"CR","4.6","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_4.600_2","2","1.14977550970197","0.139921393069817","1","0.87","1.14022608651053"
"CR","4.8","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_4.800_1","1196","-2.00479337455155","2.80189700404339","0.596186259302327","0.87","1.05772676818354"
"CR","4.8","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_4.800_2","1196","-1.67487577802102","2.53117214486025","0.428946646432579","0.87","1.07403021798196"
"CR","5","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_5.000_1","7685","-1.25347473146896","2.23479484509608","0.216792551791514","0.87","1.14427182871809"
"CR","5","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_CR_5.000_2","7685","-1.23958439591035","2.23051810667097","0.197997220683221","0.87","1.15207968222896"
