"Die","Domain","Freq","OverlayPlot","CoreCount"
"CDIE","AT","1.2","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_AT_1p2GHz.png","2"
"CDIE","AT","2.8","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_AT_2p8GHz.png","2"
"CDIE","AT","3.2","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_AT_3p2GHz.png","2"
"CDIE","AT","3.6","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_AT_3p6GHz.png","2"
"CDIE","AT","3.7","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_AT_3p7GHz.png","2"
"CDIE","AT","3.9","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_AT_3p9GHz.png","2"
"CDIE","AT","4.2","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_AT_4p2GHz.png","2"
"CDIE","CCF","1.2","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_CCF_1p2GHz.png","1"
"CDIE","CCF","3","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_CCF_3GHz.png","1"
"CDIE","CCF","3.4","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_CCF_3p4GHz.png","1"
"CDIE","CCF","4","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_CCF_4GHz.png","1"
"CDIE","CCF","4.3","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_CCF_4p3GHz.png","1"
"CDIE","CCF","4.8","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_CCF_4p8GHz.png","1"
"CDIE","CCF","5","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_CCF_5GHz.png","1"
"CDIE","CR","1.2","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_CR_1p2GHz.png","2"
"CDIE","CR","3","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_CR_3GHz.png","2"
"CDIE","CR","4.1","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_CR_4p1GHz.png","2"
"CDIE","CR","4.5","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_CR_4p5GHz.png","2"
"CDIE","CR","4.8","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_CR_4p8GHz.png","2"
"CDIE","CR","5","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_CDIE_CR_5GHz.png","2"
"GTDIE","GT","1.2","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_GTDIE_GT_1p2GHz.png","1"
"GTDIE","GT","1.5","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_GTDIE_GT_1p5GHz.png","1"
"GTDIE","GT","2","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_GTDIE_GT_2GHz.png","1"
"GTDIE","GT","2.2","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_GTDIE_GT_2p2GHz.png","1"
"GTDIE","GT","2.9","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_GTDIE_GT_2p9GHz.png","1"
"GTDIE","GTVPG","1.2","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_GTDIE_GTVPG_1p2GHz.png","1"
"GTDIE","GTVPG","1.5","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_GTDIE_GTVPG_1p5GHz.png","1"
"GTDIE","GTVPG","2","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_GTDIE_GTVPG_2GHz.png","1"
"GTDIE","GTVPG","2.2","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_GTDIE_GTVPG_2p2GHz.png","1"
"GTDIE","GTVPG","2.9","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_GTDIE_GTVPG_2p9GHz.png","1"
"HUBDIE","SAAT","1.2","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAAT_1p2GHz.png","1"
"HUBDIE","SAAT","2.4","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAAT_2p4GHz.png","1"
"HUBDIE","SAAT","3","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAAT_3GHz.png","1"
"HUBDIE","SAAT","3.2","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAAT_3p2GHz.png","1"
"HUBDIE","SAAT","3.6","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAAT_3p6GHz.png","1"
"HUBDIE","SAC","1.4","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAC_1p4GHz.png","1"
"HUBDIE","SAC","2.45","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAC_2p45GHz.png","1"
"HUBDIE","SAC","2.7","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAC_2p7GHz.png","1"
"HUBDIE","SAC","2.8","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAC_2p8GHz.png","1"
"HUBDIE","SAC","3","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAC_3GHz.png","1"
"HUBDIE","SACD","0.403","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SACD_0p403GHz.png","1"
"HUBDIE","SACD","0.787","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SACD_0p787GHz.png","1"
"HUBDIE","SADPU","1.1","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SADPU_1p1GHz.png","1"
"HUBDIE","SADPU","2.2","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SADPU_2p2GHz.png","1"
"HUBDIE","SADPU","2.5","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SADPU_2p5GHz.png","1"
"HUBDIE","SAIOC","0.5","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAIOC_0p5GHz.png","1"
"HUBDIE","SAIOC","0.75","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAIOC_0p75GHz.png","1"
"HUBDIE","SAME","0.45","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAME_0p45GHz.png","1"
"HUBDIE","SAME","1.2","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAME_1p2GHz.png","1"
"HUBDIE","SAME","1.45","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAME_1p45GHz.png","1"
"HUBDIE","SAN","0.6","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAN_0p6GHz.png","1"
"HUBDIE","SAN","1.5","C:\Users\hmarkovi\Downloads\NVLH_Parametric-main\Scripts\parametric-analysis\correlations\.\output\vmin-starting-point\plots\vmin_vs_upm_by_domain_freq\overlay_HUBDIE_SAN_1p5GHz.png","1"
