"Die","Domain","FrequencyGHz","Core","VminColumn","UpmS2TColumn","DevRevColumn","DevRevStep","TargetS2T","Samples","Slope","Intercept","R2","Vmin_At_Target"
"CDIE","AT","1.2","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_AT_1.200_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8756","-0.34387060912658","0.770108495954467","0.0315793399341839","0.470941066014343"
"CDIE","AT","1.2","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_AT_1.200_2","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8733","-0.433290914895813","0.851416020596733","0.0442408609378591","0.474452924637376"
"CDIE","AT","2.8","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_AT_2.800_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8756","-0.661149905127059","1.27644935808794","0.429109394051434","0.701248940627395"
"CDIE","AT","2.8","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_AT_2.800_2","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8733","-0.682017248226965","1.29489760964541","0.470402248240386","0.701542603687951"
"CDIE","AT","3.2","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_AT_3.200_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8756","-0.788750240268456","1.45976968146466","0.536102369178846","0.773556972431107"
"CDIE","AT","3.2","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_AT_3.200_2","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8733","-0.8008997974652","1.47079379924373","0.533170783395322","0.774010975449005"
"CDIE","AT","3.6","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_AT_3.600_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8756","-1.07928041648326","1.79763563480803","0.669615407745342","0.858661672467597"
"CDIE","AT","3.6","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_AT_3.600_2","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","8733","-1.06636766082973","1.78727936568807","0.637589121020435","0.859539500766206"
"CDIE","AT","3.7","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_AT_3.700_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","90","-1.34253888885756","2.05186233539504","0.728691905976521","0.883853502088963"
"CDIE","AT","3.7","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_AT_3.700_2","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","67","-1.25761538264786","1.9786885052589","0.776669865037589","0.884563122355266"
"CDIE","AT","3.9","1","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_AT_3.900_1","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","193","-1.09090089951387","1.93732258081101","0.12376592800572","0.988238798233937"
"CDIE","AT","3.9","2","VA-IN-NA-GSDS_D_S::UPSVFPASSFLOW_U1PU5_RCS_AT_3.900_2","UPM_0107_DPMH156P48ULVTINVD4_FULLDIE_0950_MED_SORT_U1.U5 S2T","DevRevStep_SORT_U1.U5","8PY6CVT","0.87","193","-0.652716997861712","1.56446067547253","0.0318923412881649","0.996596887332836"
