"Die","Domain","Freq","Vmin","Contributors"
"CDIE","AT","1.2","0.4727","2"
"CDIE","AT","2.8","0.7014","2"
"CDIE","AT","3.2","0.7738","2"
"CDIE","AT","3.6","0.8591","2"
"CDIE","AT","3.7","0.8842","2"
"CDIE","AT","3.9","0.9924","2"
"CDIE","AT","4.2","1.0698","2"
"CDIE","CCF","1.2","0.4678","1"
"CDIE","CCF","3","0.6676","1"
"CDIE","CCF","3.4","0.7411","1"
"CDIE","CCF","4","0.8622","1"
"CDIE","CCF","4.3","0.9716","1"
"CDIE","CCF","4.8","1.1218","1"
"CDIE","CCF","5","1.1706","1"
"CDIE","CR","1.2","0.4811","2"
"CDIE","CR","3","0.6627","2"
"CDIE","CR","4.1","0.8535","2"
"CDIE","CR","4.5","0.9629","2"
"CDIE","CR","4.8","1.0662","2"
"CDIE","CR","5","1.1565","2"
"GTDIE","GT","1.2","0.5948","1"
"GTDIE","GT","1.5","0.6259","1"
"GTDIE","GT","2","0.6987","1"
"GTDIE","GT","2.2","0.7298","1"
"GTDIE","GT","2.9","0.8758","1"
"GTDIE","GTVPG","1.2","0.5948","1"
"GTDIE","GTVPG","1.5","0.6259","1"
"GTDIE","GTVPG","2","0.6987","1"
"GTDIE","GTVPG","2.2","0.7298","1"
"GTDIE","GTVPG","2.9","0.8758","1"
"HUBDIE","SAAT","1.2","0.5064","1"
"HUBDIE","SAAT","2.4","0.6955","1"
"HUBDIE","SAAT","3","0.8314","1"
"HUBDIE","SAAT","3.2","0.9746","1"
"HUBDIE","SAAT","3.6","1.0143","1"
"HUBDIE","SAC","1.4","0.5851","1"
"HUBDIE","SAC","2.45","0.8052","1"
"HUBDIE","SAC","2.7","0.8966","1"
"HUBDIE","SAC","2.8","0.9572","1"
"HUBDIE","SAC","3","1.0679","1"
"HUBDIE","SACD","0.403","0.5851","1"
"HUBDIE","SACD","0.787","0.8052","1"
"HUBDIE","SADPU","1.1","0.5851","1"
"HUBDIE","SADPU","2.2","0.8052","1"
"HUBDIE","SADPU","2.5","0.8966","1"
"HUBDIE","SAIOC","0.5","0.5851","1"
"HUBDIE","SAIOC","0.75","0.8052","1"
"HUBDIE","SAME","0.45","0.5851","1"
"HUBDIE","SAME","1.2","0.8052","1"
"HUBDIE","SAME","1.45","0.8966","1"
"HUBDIE","SAN","0.6","0.5851","1"
"HUBDIE","SAN","1.5","0.8052","1"
"HUBDIE","SAN","1.65","0.8966","1"
"HUBDIE","SAPS","0.5","0.5851","1"
"HUBDIE","SAPS","0.75","0.8052","1"
"HUBDIE","SAQ","1.4","0.5851","1"
"HUBDIE","SAQ","3","0.8052","1"
"HUBDIE","SAQ","3.4","0.8966","1"
"HUBDIE","SAQ","3.6","0.9572","1"
"HUBDIE","SAQ","4","1.0679","1"
"HUBDIE","SAVPU","0.629","0.5851","1"
"HUBDIE","SAVPU","1.257","0.8052","1"
"HUBDIE","SAVPU","1.429","0.8966","1"
